function,module,signature,description
nb.ScheduleValuesByItemsλ,Dates,"ScheduleValuesByItemsλ(PeriodStarts, PeriodEnds, ItemFilter, ItemList, EffectiveList, ValueList)",Schedule and sum values in a timeline for each item.
nb.ScheduleValuesλ,Dates,"ScheduleValuesλ(PeriodStarts, PeriodEnds, Values, EffectiveDates)",Schedules values in a timeline from a schedule in a table.
nb.SumAmortiseλ,Financial,SumAmortiseλ(AmortisationSchedule),Create row totals for Amortiseλ
nb.SumColsUλ,Utilities,SumColsUλ( Array),Get the total for each Column
nb.SumColsλ,Essentials,SumColsλ( Array),Get the total for each Column
nb.SumContainsλ,Financial,"SumContainsλ(ValuesToFilter, ValueLabels, FilterByText, [IgnoreCase?])","→Creates a row of totals for each row in an array where _x000a_its labels contain a letter, word, or phrase"
nb.SumDepreciateλ,Financial,SumDepreciateλ(DepreciationSchedule),Create row totals for Depreciateλ
nb.SumPeriodsλ,Financial,"SumPeriodsλ( Values, Dates, PeriodStarts)",Groups and totals all columns in a Values array by period resulting in one column for each period
nb.SumRowsUλ,Utilities,SumRowsUλ( Array),Get the total for each row
nb.SumRowsλ,Essentials,SumRowsλ( Array),Get the total for each row
nb.TimelineOffsetλ,Financial,"TimelineOffsetλ(Date, Timeline)",Determines how many periods one array is offset from the timeline
nb.TimelinePositionλ,Financial,"TimelinePositionλ(Array, Timeline, Offset)",Crops an array based on a model's timeline
nb.Timelineλ,Dates,"Timelineλ(StartDate, Periods, Interval, PeriodStarts?)",Create a horizontal list of period dates
nb.VDBλ,Financial,"VDBλ(Cost, Salvage, Life, [Factor], [No_Switch])",Variable declining balance depreciation method for one asset or asset class.
nb.WorkingCapitalTurnoverRatioλ,Ratios,"WorkingCapitalTurnoverRatioλ( NetAnnualSales, WorkingCapital)",Working Capital Turnover Ratio measures how efficiently a company is using its working _x000a_capital to support sales and growth (Net Annual Sales/Average Working Capital).
